Species,PokeAPIName,Move,Level,Type,Reason,SourceGen
Charmander,charmander,Fury Swipes,18,Normal,MissingInGen9FromEarlierGen,7
Charmander,charmander,Mega Punch,,Normal,TM/HM,8
Charmander,charmander,Fire Punch,,Fire,TM/HM,9
Charmander,charmander,Thunder Punch,,Electric,TM/HM,9
Charmander,charmander,Wing Attack,,Flying,Egg,8
Charmander,charmander,Mega Kick,,Normal,TM/HM,8
Charmander,charmander,Headbutt,,Normal,TM/HM,7
Charmander,charmander,Body Slam,,Normal,TM/HM,9
Charmander,charmander,Take Down,,Normal,TM/HM,9
Charmander,charmander,Roar,,Normal,TM/HM,9
Charmander,charmander,Seismic Toss,,Fighting,TM/HM,7
Charmander,charmander,Fire Spin,,Fire,TM/HM,9
Charmander,charmander,Reflect,,Psychic,TM/HM,7
Charmander,charmander,Swift,,Normal,TM/HM,9
Charmander,charmander,Snore,,Normal,TM/HM,8
Charmander,charmander,Scary Face,,Normal,TM/HM,9
Charmander,charmander,Outrage,,Dragon,TM/HM,9
Charmander,charmander,Endure,,Normal,TM/HM,9
Charmander,charmander,False Swipe,,Normal,TM/HM,9
Charmander,charmander,Iron Tail,,Steel,TM/HM,8
Charmander,charmander,Iron Tail,,Steel,Egg,9
Charmander,charmander,Metal Claw,,Steel,TM/HM,9
Charmander,charmander,Crunch,,Dark,TM/HM,9
Charmander,charmander,Beat Up,,Dark,TM/HM,8
Charmander,charmander,Heat Wave,,Fire,TM/HM,9
Charmander,charmander,Focus Punch,,Fighting,TM/HM,9
Charmander,charmander,Focus Punch,,Fighting,Tutor,7
Charmander,charmander,Helping Hand,,Normal,TM/HM,9
Charmander,charmander,Secret Power,,Normal,TM/HM,6
Charmander,charmander,Weather Ball,,Normal,TM/HM,9
Charmander,charmander,Dragon Dance,,Dragon,TM/HM,9
Charmander,charmander,Flare Blitz,,Fire,TM/HM,9
Charmander,charmander,Dragon Pulse,,Dragon,TM/HM,9
Charmander,charmander,Dragon Pulse,,Dragon,Tutor,7
Charmander,charmander,Dragon Pulse,,Dragon,Egg,7
Charmander,charmander,Focus Blast,,Fighting,TM/HM,9
Charmander,charmander,Fire Fang,,Fire,TM/HM,9
Charmander,charmander,Acrobatics,,Flying,TM/HM,8
Charmander,charmander,Fire Pledge,,Fire,TM/HM,9
Charmander,charmander,Dragon Tail,,Dragon,TM/HM,9
Charmander,charmander,Dragon Tail,,Dragon,Egg,9
Charmander,charmander,Work Up,,Normal,TM/HM,8
Charmander,charmander,Breaking Swipe,,Dragon,TM/HM,9
Charmander,charmander,Tera Blast,,Normal,TM/HM,9
Charmander,charmander,Temper Flare,,Fire,TM/HM,9
Charmeleon,charmeleon,Growl,1,Normal,EarlyAndLaterPair,7
Charmeleon,charmeleon,Growl,4,Normal,EarlyAndLaterPair,7
Charmeleon,charmeleon,Ember,1,Fire,EarlyAndLaterPair,7
Charmeleon,charmeleon,Ember,13,Fire,EarlyAndLaterPair,7
Charmeleon,charmeleon,Dragon Rage,26,Dragon,MissingInGen9FromEarlierGen,7
Charmeleon,charmeleon,Fire Spin,42,Fire,MissingInGen9FromEarlierGen,8
Charmeleon,charmeleon,Smokescreen,1,Normal,EarlyAndLaterPair,7
Charmeleon,charmeleon,Fury Swipes,20,Normal,MissingInGen9FromEarlierGen,7
Charmeleon,charmeleon,Mega Punch,,Normal,TM/HM,8
Charmeleon,charmeleon,Fire Punch,,Fire,TM/HM,9
Charmeleon,charmeleon,Thunder Punch,,Electric,TM/HM,9
Charmeleon,charmeleon,Mega Kick,,Normal,TM/HM,8
Charmeleon,charmeleon,Headbutt,,Normal,TM/HM,7
Charmeleon,charmeleon,Body Slam,,Normal,TM/HM,9
Charmeleon,charmeleon,Take Down,,Normal,TM/HM,9
Charmeleon,charmeleon,Bite,,Dark,Egg,9
Charmeleon,charmeleon,Roar,,Normal,TM/HM,9
Charmeleon,charmeleon,Counter,,Fighting,Egg,9
Charmeleon,charmeleon,Seismic Toss,,Fighting,TM/HM,7
Charmeleon,charmeleon,Fire Spin,,Fire,TM/HM,9
Charmeleon,charmeleon,Reflect,,Psychic,TM/HM,7
Charmeleon,charmeleon,Swift,,Normal,TM/HM,9
Charmeleon,charmeleon,Snore,,Normal,TM/HM,8
Charmeleon,charmeleon,Scary Face,,Normal,TM/HM,9
Charmeleon,charmeleon,Belly Drum,,Normal,Egg,9
Charmeleon,charmeleon,Outrage,,Dragon,TM/HM,9
Charmeleon,charmeleon,Endure,,Normal,TM/HM,9
Charmeleon,charmeleon,False Swipe,,Normal,TM/HM,9
Charmeleon,charmeleon,Iron Tail,,Steel,TM/HM,8
Charmeleon,charmeleon,Iron Tail,,Steel,Egg,9
Charmeleon,charmeleon,Metal Claw,,Steel,Egg,9
Charmeleon,charmeleon,Crunch,,Dark,TM/HM,9
Charmeleon,charmeleon,Ancient Power,,Rock,Egg,9
Charmeleon,charmeleon,Beat Up,,Dark,TM/HM,8
Charmeleon,charmeleon,Heat Wave,,Fire,TM/HM,9
Charmeleon,charmeleon,Focus Punch,,Fighting,TM/HM,9
Charmeleon,charmeleon,Helping Hand,,Normal,TM/HM,9
Charmeleon,charmeleon,Secret Power,,Normal,TM/HM,6
Charmeleon,charmeleon,Weather Ball,,Normal,TM/HM,9
Charmeleon,charmeleon,Dragon Dance,,Dragon,TM/HM,9
Charmeleon,charmeleon,Flare Blitz,,Fire,TM/HM,9
Charmeleon,charmeleon,Dragon Pulse,,Dragon,TM/HM,9
Charmeleon,charmeleon,Dragon Pulse,,Dragon,Tutor,7
Charmeleon,charmeleon,Dragon Rush,,Dragon,Egg,9
Charmeleon,charmeleon,Focus Blast,,Fighting,TM/HM,9
Charmeleon,charmeleon,Fire Fang,,Fire,TM/HM,9
Charmeleon,charmeleon,Acrobatics,,Flying,TM/HM,8
Charmeleon,charmeleon,Fire Pledge,,Fire,TM/HM,9
Charmeleon,charmeleon,Dragon Tail,,Dragon,TM/HM,9
Charmeleon,charmeleon,Dragon Tail,,Dragon,Egg,9
Charmeleon,charmeleon,Work Up,,Normal,TM/HM,8
Charmeleon,charmeleon,Breaking Swipe,,Dragon,TM/HM,9
Charmeleon,charmeleon,Tera Blast,,Normal,TM/HM,9
Charmeleon,charmeleon,Temper Flare,,Fire,TM/HM,9
Charizard,charizard,Wing Attack,Evo,Flying,MissingInGen9FromEarlierGen,7
Charizard,charizard,Wing Attack,1,Flying,MissingInGen9FromEarlierGen,7
Charizard,charizard,Growl,1,Normal,EarlyAndLaterPair,7
Charizard,charizard,Growl,4,Normal,EarlyAndLaterPair,7
Charizard,charizard,Ember,1,Fire,EarlyAndLaterPair,7
Charizard,charizard,Ember,13,Fire,EarlyAndLaterPair,7
Charizard,charizard,Counter,1,Fighting,MissingInGen9FromEarlierGen,7
Charizard,charizard,Dragon Rage,26,Dragon,MissingInGen9FromEarlierGen,7
Charizard,charizard,Smokescreen,1,Normal,EarlyAndLaterPair,7
Charizard,charizard,Fury Swipes,20,Normal,MissingInGen9FromEarlierGen,7
Charizard,charizard,Crunch,1,Dark,MissingInGen9FromEarlierGen,7
Charizard,charizard,Heat Wave,1,Fire,EarlyAndLaterPair,7
Charizard,charizard,Flare Blitz,1,Fire,EarlyAndLaterPair,9
Charizard,charizard,Flare Blitz,62,Fire,EarlyAndLaterPair,9
Charizard,charizard,Air Slash,Evo,Flying,EarlyAndLaterPair,7
Charizard,charizard,Air Slash,1,Flying,EarlyAndLaterPair,7
Charizard,charizard,Air Slash,62,Flying,EarlyAndLaterPair,7
Charizard,charizard,Shadow Claw,1,Ghost,MissingInGen9FromEarlierGen,7
Charizard,charizard,Mega Punch,,Normal,TM/HM,8
Charizard,charizard,Fire Punch,,Fire,TM/HM,9
Charizard,charizard,Thunder Punch,,Electric,TM/HM,9
Charizard,charizard,Mega Kick,,Normal,TM/HM,8
Charizard,charizard,Headbutt,,Normal,TM/HM,7
Charizard,charizard,Body Slam,,Normal,TM/HM,9
Charizard,charizard,Take Down,,Normal,TM/HM,9
Charizard,charizard,Double-Edge,,Normal,TM/HM,9
Charizard,charizard,Bite,,Dark,Egg,9
Charizard,charizard,Counter,,Fighting,Egg,9
Charizard,charizard,Seismic Toss,,Fighting,TM/HM,7
Charizard,charizard,Fire Spin,,Fire,TM/HM,9
Charizard,charizard,Reflect,,Psychic,TM/HM,7
Charizard,charizard,Swift,,Normal,TM/HM,9
Charizard,charizard,Snore,,Normal,TM/HM,8
Charizard,charizard,Scary Face,,Normal,TM/HM,9
Charizard,charizard,Belly Drum,,Normal,Egg,9
Charizard,charizard,Outrage,,Dragon,TM/HM,9
Charizard,charizard,Sandstorm,,Rock,TM/HM,9
Charizard,charizard,Endure,,Normal,TM/HM,9
Charizard,charizard,False Swipe,,Normal,TM/HM,8
Charizard,charizard,Iron Tail,,Steel,TM/HM,8
Charizard,charizard,Iron Tail,,Steel,Egg,9
Charizard,charizard,Metal Claw,,Steel,Egg,9
Charizard,charizard,Crunch,,Dark,TM/HM,9
Charizard,charizard,Ancient Power,,Rock,Egg,9
Charizard,charizard,Beat Up,,Dark,TM/HM,8
Charizard,charizard,Heat Wave,,Fire,TM/HM,9
Charizard,charizard,Focus Punch,,Fighting,TM/HM,9
Charizard,charizard,Helping Hand,,Normal,TM/HM,9
Charizard,charizard,Secret Power,,Normal,TM/HM,6
Charizard,charizard,Blaze Kick,,Fire,TM/HM,8
Charizard,charizard,Blast Burn,,Fire,TM/HM,9
Charizard,charizard,Weather Ball,,Normal,TM/HM,9
Charizard,charizard,Air Cutter,,Flying,TM/HM,9
Charizard,charizard,Dragon Dance,,Dragon,TM/HM,9
Charizard,charizard,Flare Blitz,,Fire,TM/HM,9
Charizard,charizard,Air Slash,,Flying,TM/HM,9
Charizard,charizard,Dragon Pulse,,Dragon,TM/HM,9
Charizard,charizard,Dragon Rush,,Dragon,Egg,9
Charizard,charizard,Fire Fang,,Fire,TM/HM,9
Charizard,charizard,Defog,,Flying,Tutor,7
Charizard,charizard,Acrobatics,,Flying,TM/HM,9
Charizard,charizard,Fire Pledge,,Fire,TM/HM,9
Charizard,charizard,Dragon Tail,,Dragon,Egg,9
Charizard,charizard,Work Up,,Normal,TM/HM,8
Charizard,charizard,Heat Crash,,Fire,TM/HM,9
Charizard,charizard,Hurricane,,Flying,TM/HM,9
Charizard,charizard,Mystical Fire,,Fire,TM/HM,8
Charizard,charizard,Brutal Swing,,Dark,TM/HM,8
Charizard,charizard,Breaking Swipe,,Dragon,TM/HM,9
Charizard,charizard,Scale Shot,,Dragon,Tutor,8
Charizard,charizard,Dual Wingbeat,,Flying,Tutor,8
Charizard,charizard,Scorching Sands,,Ground,TM/HM,9
Charizard,charizard,Scorching Sands,,Ground,Tutor,8
Charizard,charizard,Tera Blast,,Normal,TM/HM,9
Charizard,charizard,Dragon Cheer,,Dragon,TM/HM,9
Charizard,charizard,Temper Flare,,Fire,TM/HM,9
Squirtle,squirtle,Headbutt,36,Normal,MissingInGen9FromEarlierGen,7
Squirtle,squirtle,Tail Whip,1,Normal,EarlyAndLaterPair,7
Squirtle,squirtle,Tail Whip,5,Normal,EarlyAndLaterPair,7
Squirtle,squirtle,Bubble Beam,27,Water,MissingInGen9FromEarlierGen,7
Squirtle,squirtle,Skull Bash,36,Normal,MissingInGen9FromEarlierGen,8
Squirtle,squirtle,Bubble,13,Water,MissingInGen9FromEarlierGen,7
Squirtle,squirtle,Mega Punch,,Normal,TM/HM,8
Squirtle,squirtle,Ice Punch,,Ice,TM/HM,9
Squirtle,squirtle,Mega Kick,,Normal,TM/HM,8
Squirtle,squirtle,Headbutt,,Normal,TM/HM,7
Squirtle,squirtle,Body Slam,,Normal,TM/HM,9
Squirtle,squirtle,Take Down,,Normal,TM/HM,9
Squirtle,squirtle,Double-Edge,,Normal,TM/HM,9
Squirtle,squirtle,Hydro Pump,,Water,TM/HM,9
Squirtle,squirtle,Seismic Toss,,Fighting,TM/HM,7
Squirtle,squirtle,Haze,,Ice,TM/HM,9
Squirtle,squirtle,Reflect,,Psychic,TM/HM,7
Squirtle,squirtle,Rock Slide,,Rock,TM/HM,7
Squirtle,squirtle,Snore,,Normal,TM/HM,8
Squirtle,squirtle,Icy Wind,,Ice,TM/HM,9
Squirtle,squirtle,Outrage,,Dragon,TM/HM,7
Squirtle,squirtle,Endure,,Normal,TM/HM,9
Squirtle,squirtle,False Swipe,,Normal,TM/HM,8
Squirtle,squirtle,Iron Tail,,Steel,TM/HM,8
Squirtle,squirtle,Whirlpool,,Water,TM/HM,9
Squirtle,squirtle,Focus Punch,,Fighting,TM/HM,9
Squirtle,squirtle,Helping Hand,,Normal,TM/HM,9
Squirtle,squirtle,Secret Power,,Normal,TM/HM,6
Squirtle,squirtle,Weather Ball,,Normal,TM/HM,9
Squirtle,squirtle,Muddy Water,,Water,TM/HM,9
Squirtle,squirtle,Iron Defense,,Steel,TM/HM,9
Squirtle,squirtle,Mud Shot,,Ground,TM/HM,9
Squirtle,squirtle,Water Pulse,,Water,TM/HM,9
Squirtle,squirtle,Water Pulse,,Water,Tutor,7
Squirtle,squirtle,Brine,,Water,TM/HM,8
Squirtle,squirtle,Aura Sphere,,Fighting,TM/HM,8
Squirtle,squirtle,Dragon Pulse,,Dragon,TM/HM,8
Squirtle,squirtle,Dragon Pulse,,Dragon,Tutor,7
Squirtle,squirtle,Zen Headbutt,,Psychic,TM/HM,9
Squirtle,squirtle,Water Pledge,,Water,TM/HM,9
Squirtle,squirtle,Work Up,,Normal,TM/HM,8
Squirtle,squirtle,Liquidation,,Water,TM/HM,9
Squirtle,squirtle,Life Dew,,Water,Egg,9
Squirtle,squirtle,Flip Turn,,Water,TM/HM,9
Squirtle,squirtle,Flip Turn,,Water,Tutor,8
Squirtle,squirtle,Tera Blast,,Normal,TM/HM,9
Squirtle,squirtle,Ice Spinner,,Ice,TM/HM,9
Squirtle,squirtle,Chilling Water,,Water,TM/HM,9
Wartortle,wartortle,Headbutt,46,Normal,MissingInGen9FromEarlierGen,7
Wartortle,wartortle,Tail Whip,1,Normal,EarlyAndLaterPair,7
Wartortle,wartortle,Tail Whip,5,Normal,EarlyAndLaterPair,7
Wartortle,wartortle,Water Gun,1,Water,EarlyAndLaterPair,7
Wartortle,wartortle,Water Gun,20,Water,EarlyAndLaterPair,7
Wartortle,wartortle,Bubble Beam,33,Water,MissingInGen9FromEarlierGen,7
Wartortle,wartortle,Withdraw,1,Water,EarlyAndLaterPair,7
Wartortle,wartortle,Withdraw,14,Water,EarlyAndLaterPair,7
Wartortle,wartortle,Skull Bash,50,Normal,MissingInGen9FromEarlierGen,8
Wartortle,wartortle,Bubble,1,Water,MissingInGen9FromEarlierGen,7
Wartortle,wartortle,Bubble,13,Water,MissingInGen9FromEarlierGen,7
Wartortle,wartortle,Mega Punch,,Normal,TM/HM,8
Wartortle,wartortle,Ice Punch,,Ice,TM/HM,9
Wartortle,wartortle,Mega Kick,,Normal,TM/HM,8
Wartortle,wartortle,Headbutt,,Normal,TM/HM,7
Wartortle,wartortle,Body Slam,,Normal,TM/HM,9
Wartortle,wartortle,Take Down,,Normal,TM/HM,9
Wartortle,wartortle,Double-Edge,,Normal,TM/HM,9
Wartortle,wartortle,Mist,,Ice,Egg,9
Wartortle,wartortle,Hydro Pump,,Water,TM/HM,9
Wartortle,wartortle,Seismic Toss,,Fighting,TM/HM,7
Wartortle,wartortle,Haze,,Ice,TM/HM,9
Wartortle,wartortle,Reflect,,Psychic,TM/HM,7
Wartortle,wartortle,Rock Slide,,Rock,TM/HM,7
Wartortle,wartortle,Snore,,Normal,TM/HM,8
Wartortle,wartortle,Flail,,Normal,Egg,9
Wartortle,wartortle,Icy Wind,,Ice,TM/HM,9
Wartortle,wartortle,Outrage,,Dragon,TM/HM,7
Wartortle,wartortle,Endure,,Normal,TM/HM,9
Wartortle,wartortle,False Swipe,,Normal,TM/HM,8
Wartortle,wartortle,Iron Tail,,Steel,TM/HM,8
Wartortle,wartortle,Mirror Coat,,Psychic,Egg,9
Wartortle,wartortle,Whirlpool,,Water,TM/HM,9
Wartortle,wartortle,Fake Out,,Normal,Egg,9
Wartortle,wartortle,Focus Punch,,Fighting,TM/HM,9
Wartortle,wartortle,Helping Hand,,Normal,TM/HM,9
Wartortle,wartortle,Yawn,,Normal,Egg,9
Wartortle,wartortle,Secret Power,,Normal,TM/HM,6
Wartortle,wartortle,Weather Ball,,Normal,TM/HM,9
Wartortle,wartortle,Water Spout,,Water,Egg,9
Wartortle,wartortle,Muddy Water,,Water,TM/HM,9
Wartortle,wartortle,Iron Defense,,Steel,TM/HM,9
Wartortle,wartortle,Mud Shot,,Ground,TM/HM,9
Wartortle,wartortle,Water Pulse,,Water,TM/HM,9
Wartortle,wartortle,Water Pulse,,Water,Tutor,7
Wartortle,wartortle,Brine,,Water,TM/HM,8
Wartortle,wartortle,Aqua Ring,,Water,Egg,9
Wartortle,wartortle,Aura Sphere,,Fighting,TM/HM,8
Wartortle,wartortle,Dragon Pulse,,Dragon,TM/HM,8
Wartortle,wartortle,Dragon Pulse,,Dragon,Tutor,7
Wartortle,wartortle,Zen Headbutt,,Psychic,TM/HM,9
Wartortle,wartortle,Aqua Jet,,Water,Egg,9
Wartortle,wartortle,Water Pledge,,Water,TM/HM,9
Wartortle,wartortle,Work Up,,Normal,TM/HM,8
Wartortle,wartortle,Liquidation,,Water,TM/HM,9
Wartortle,wartortle,Life Dew,,Water,Egg,9
Wartortle,wartortle,Flip Turn,,Water,TM/HM,9
Wartortle,wartortle,Flip Turn,,Water,Tutor,8
Wartortle,wartortle,Tera Blast,,Normal,TM/HM,9
Wartortle,wartortle,Ice Spinner,,Ice,TM/HM,9
Wartortle,wartortle,Chilling Water,,Water,TM/HM,9
Blastoise,blastoise,Headbutt,54,Normal,MissingInGen9FromEarlierGen,7
Blastoise,blastoise,Tail Whip,1,Normal,EarlyAndLaterPair,7
Blastoise,blastoise,Tail Whip,5,Normal,EarlyAndLaterPair,7
Blastoise,blastoise,Water Gun,1,Water,EarlyAndLaterPair,7
Blastoise,blastoise,Water Gun,20,Water,EarlyAndLaterPair,7
Blastoise,blastoise,Bubble Beam,33,Water,MissingInGen9FromEarlierGen,7
Blastoise,blastoise,Withdraw,1,Water,EarlyAndLaterPair,7
Blastoise,blastoise,Withdraw,14,Water,EarlyAndLaterPair,7
Blastoise,blastoise,Skull Bash,56,Normal,MissingInGen9FromEarlierGen,8
Blastoise,blastoise,Bubble,1,Water,MissingInGen9FromEarlierGen,7
Blastoise,blastoise,Bubble,13,Water,MissingInGen9FromEarlierGen,7
