pokemon,move,move_human,left_min_level,left_groups,right_groups
zubat,air-cutter,Air Cutter,25,sword-shield,scarlet-violet
zubat,air-slash,Air Slash,50,sword-shield,scarlet-violet
zubat,venoshock,Venoshock,40,sword-shield,scarlet-violet
zubat,quick-guard,Quick Guard,20,sword-shield,scarlet-violet
golbat,bite,Bite,34,sword-shield,scarlet-violet
golbat,supersonic,Supersonic,1,sword-shield,scarlet-violet
golbat,absorb,Absorb,1,sword-shield,scarlet-violet
golbat,screech,Screech,1,sword-shield,scarlet-violet
golbat,confuse-ray,Confuse Ray,55,sword-shield,scarlet-violet
golbat,haze,Haze,41,sword-shield,scarlet-violet
golbat,leech-life,Leech Life,69,sword-shield,scarlet-violet
golbat,mean-look,Mean Look,1,sword-shield,scarlet-violet
golbat,poison-fang,Poison Fang,15,sword-shield,scarlet-violet
golbat,astonish,Astonish,1,sword-shield,scarlet-violet
golbat,air-cutter,Air Cutter,27,sword-shield,scarlet-violet
golbat,air-slash,Air Slash,62,sword-shield,scarlet-violet
golbat,venoshock,Venoshock,48,sword-shield,scarlet-violet
golbat,quick-guard,Quick Guard,20,sword-shield,scarlet-violet
vileplume,aromatherapy,Aromatherapy,1,sword-shield,scarlet-violet
psyduck,hydro-pump,Hydro Pump,36,sword-shield,scarlet-violet
arcanine,burn-up,Burn Up,1,sword-shield,scarlet-violet
poliwrath,pound,Pound,1,sword-shield,scarlet-violet
poliwrath,double-edge,Double-Edge,1,sword-shield,scarlet-violet
poliwrath,water-gun,Water Gun,1,sword-shield,scarlet-violet
poliwrath,hydro-pump,Hydro Pump,1,sword-shield,scarlet-violet
poliwrath,submission,Submission,0,sword-shield,scarlet-violet
poliwrath,mind-reader,Mind Reader,1,sword-shield,scarlet-violet
poliwrath,belly-drum,Belly Drum,1,sword-shield,scarlet-violet
poliwrath,rain-dance,Rain Dance,1,sword-shield,scarlet-violet
poliwrath,mud-shot,Mud Shot,1,sword-shield,scarlet-violet
poliwrath,earth-power,Earth Power,1,sword-shield,scarlet-violet
poliwrath,circle-throw,Circle Throw,1,sword-shield,scarlet-violet
abra,teleport,Teleport,1,sword-shield,scarlet-violet
machop,double-edge,Double-Edge,52,sword-shield,scarlet-violet
machop,leer,Leer,1,sword-shield,scarlet-violet
machop,low-kick,Low Kick,1,sword-shield,scarlet-violet
machop,seismic-toss,Seismic Toss,40,sword-shield,scarlet-violet
machop,strength,Strength,29,sword-shield,scarlet-violet
machop,focus-energy,Focus Energy,4,sword-shield,scarlet-violet
machop,scary-face,Scary Face,20,sword-shield,scarlet-violet
machop,dynamic-punch,Dynamic Punch,44,sword-shield,scarlet-violet
machop,vital-throw,Vital Throw,24,sword-shield,scarlet-violet
machop,cross-chop,Cross Chop,48,sword-shield,scarlet-violet
machop,revenge,Revenge,8,sword-shield,scarlet-violet
machop,knock-off,Knock Off,16,sword-shield,scarlet-violet
machop,bulk-up,Bulk Up,36,sword-shield,scarlet-violet
machop,low-sweep,Low Sweep,12,sword-shield,scarlet-violet
machop,dual-chop,Dual Chop,32,sword-shield,scarlet-violet
alakazam,disable,Disable,1,sword-shield,scarlet-violet
alakazam,psybeam,Psybeam,5,sword-shield,scarlet-violet
alakazam,confusion,Confusion,1,sword-shield,scarlet-violet
alakazam,psychic,Psychic,35,sword-shield,scarlet-violet
alakazam,teleport,Teleport,1,sword-shield,scarlet-violet
alakazam,recover,Recover,25,sword-shield,scarlet-violet
alakazam,reflect,Reflect,10,sword-shield,scarlet-violet
alakazam,kinesis,Kinesis,1,sword-shield,scarlet-violet
alakazam,future-sight,Future Sight,45,sword-shield,scarlet-violet
alakazam,role-play,Role Play,40,sword-shield,scarlet-violet
alakazam,calm-mind,Calm Mind,50,sword-shield,scarlet-violet
alakazam,psycho-cut,Psycho Cut,20,sword-shield,scarlet-violet
alakazam,psyshock,Psyshock,30,sword-shield,scarlet-violet
alakazam,ally-switch,Ally Switch,15,sword-shield,scarlet-violet
kadabra,disable,Disable,1,sword-shield,scarlet-violet
kadabra,psybeam,Psybeam,5,sword-shield,scarlet-violet
kadabra,confusion,Confusion,0,sword-shield,scarlet-violet
kadabra,psychic,Psychic,35,sword-shield,scarlet-violet
kadabra,teleport,Teleport,1,sword-shield,scarlet-violet
kadabra,recover,Recover,25,sword-shield,scarlet-violet
kadabra,reflect,Reflect,10,sword-shield,scarlet-violet
kadabra,kinesis,Kinesis,1,sword-shield,scarlet-violet
kadabra,future-sight,Future Sight,45,sword-shield,scarlet-violet
kadabra,role-play,Role Play,40,sword-shield,scarlet-violet
kadabra,calm-mind,Calm Mind,50,sword-shield,scarlet-violet
kadabra,psycho-cut,Psycho Cut,20,sword-shield,scarlet-violet
kadabra,psyshock,Psyshock,30,sword-shield,scarlet-violet
kadabra,ally-switch,Ally Switch,15,sword-shield,scarlet-violet
machamp,double-edge,Double-Edge,66,sword-shield,scarlet-violet
machamp,leer,Leer,1,sword-shield,scarlet-violet
machamp,low-kick,Low Kick,1,sword-shield,scarlet-violet
machamp,seismic-toss,Seismic Toss,48,sword-shield,scarlet-violet
machamp,strength,Strength,31,sword-shield,scarlet-violet
machamp,focus-energy,Focus Energy,1,sword-shield,scarlet-violet
machamp,scary-face,Scary Face,20,sword-shield,scarlet-violet
machamp,dynamic-punch,Dynamic Punch,54,sword-shield,scarlet-violet
machamp,vital-throw,Vital Throw,24,sword-shield,scarlet-violet
machamp,cross-chop,Cross Chop,60,sword-shield,scarlet-violet
machamp,revenge,Revenge,1,sword-shield,scarlet-violet
machamp,knock-off,Knock Off,16,sword-shield,scarlet-violet
machamp,bulk-up,Bulk Up,42,sword-shield,scarlet-violet
machamp,wide-guard,Wide Guard,1,sword-shield,scarlet-violet
machamp,low-sweep,Low Sweep,12,sword-shield,scarlet-violet
machamp,dual-chop,Dual Chop,36,sword-shield,scarlet-violet
machoke,double-edge,Double-Edge,66,sword-shield,scarlet-violet
machoke,leer,Leer,1,sword-shield,scarlet-violet
machoke,low-kick,Low Kick,1,sword-shield,scarlet-violet
machoke,seismic-toss,Seismic Toss,48,sword-shield,scarlet-violet
machoke,strength,Strength,31,sword-shield,scarlet-violet
machoke,focus-energy,Focus Energy,1,sword-shield,scarlet-violet
machoke,scary-face,Scary Face,20,sword-shield,scarlet-violet
machoke,dynamic-punch,Dynamic Punch,54,sword-shield,scarlet-violet
machoke,vital-throw,Vital Throw,24,sword-shield,scarlet-violet
machoke,cross-chop,Cross Chop,60,sword-shield,scarlet-violet
machoke,revenge,Revenge,1,sword-shield,scarlet-violet
machoke,knock-off,Knock Off,16,sword-shield,scarlet-violet
machoke,bulk-up,Bulk Up,42,sword-shield,scarlet-violet
machoke,low-sweep,Low Sweep,12,sword-shield,scarlet-violet
machoke,dual-chop,Dual Chop,36,sword-shield,scarlet-violet
ponyta,stomp,Stomp,30,sword-shield,scarlet-violet
ponyta,tackle,Tackle,1,sword-shield,scarlet-violet
ponyta,take-down,Take Down,41,sword-shield,scarlet-violet
ponyta,tail-whip,Tail Whip,5,sword-shield,scarlet-violet
ponyta,growl,Growl,1,sword-shield,scarlet-violet
ponyta,ember,Ember,10,sword-shield,scarlet-violet
ponyta,fire-spin,Fire Spin,35,sword-shield,scarlet-violet
ponyta,agility,Agility,20,sword-shield,scarlet-violet
ponyta,fire-blast,Fire Blast,50,sword-shield,scarlet-violet
ponyta,flame-wheel,Flame Wheel,25,sword-shield,scarlet-violet
ponyta,flare-blitz,Flare Blitz,55,sword-shield,scarlet-violet
ponyta,flame-charge,Flame Charge,15,sword-shield,scarlet-violet
ponyta,inferno,Inferno,45,sword-shield,scarlet-violet
rapidash,stomp,Stomp,30,sword-shield,scarlet-violet
rapidash,tackle,Tackle,1,sword-shield,scarlet-violet
rapidash,take-down,Take Down,43,sword-shield,scarlet-violet
rapidash,tail-whip,Tail Whip,1,sword-shield,scarlet-violet
rapidash,growl,Growl,1,sword-shield,scarlet-violet
rapidash,ember,Ember,1,sword-shield,scarlet-violet
rapidash,fire-spin,Fire Spin,35,sword-shield,scarlet-violet
rapidash,agility,Agility,20,sword-shield,scarlet-violet
rapidash,quick-attack,Quick Attack,1,sword-shield,scarlet-violet
rapidash,fire-blast,Fire Blast,56,sword-shield,scarlet-violet
rapidash,flame-wheel,Flame Wheel,25,sword-shield,scarlet-violet
rapidash,megahorn,Megahorn,1,sword-shield,scarlet-violet
rapidash,flare-blitz,Flare Blitz,63,sword-shield,scarlet-violet
rapidash,poison-jab,Poison Jab,1,sword-shield,scarlet-violet
rapidash,flame-charge,Flame Charge,15,sword-shield,scarlet-violet
rapidash,inferno,Inferno,49,sword-shield,scarlet-violet
rapidash,smart-strike,Smart Strike,0,sword-shield,scarlet-violet
farfetchd,swords-dance,Swords Dance,45,sword-shield,scarlet-violet
farfetchd,cut,Cut,15,sword-shield,scarlet-violet
farfetchd,sand-attack,Sand Attack,1,sword-shield,scarlet-violet
farfetchd,leer,Leer,5,sword-shield,scarlet-violet
farfetchd,peck,Peck,1,sword-shield,scarlet-violet
farfetchd,agility,Agility,60,sword-shield,scarlet-violet
farfetchd,slash,Slash,40,sword-shield,scarlet-violet
farfetchd,false-swipe,False Swipe,35,sword-shield,scarlet-violet
farfetchd,fury-cutter,Fury Cutter,10,sword-shield,scarlet-violet
farfetchd,knock-off,Knock Off,30,sword-shield,scarlet-violet
farfetchd,air-cutter,Air Cutter,25,sword-shield,scarlet-violet
farfetchd,aerial-ace,Aerial Ace,20,sword-shield,scarlet-violet
farfetchd,leaf-blade,Leaf Blade,55,sword-shield,scarlet-violet
farfetchd,air-slash,Air Slash,50,sword-shield,scarlet-violet
farfetchd,brave-bird,Brave Bird,65,sword-shield,scarlet-violet
krabby,guillotine,Guillotine,48,sword-shield,scarlet-violet
krabby,swords-dance,Swords Dance,40,sword-shield,scarlet-violet
krabby,slam,Slam,36,sword-shield,scarlet-violet
krabby,stomp,Stomp,24,sword-shield,scarlet-violet
krabby,leer,Leer,1,sword-shield,scarlet-violet
krabby,water-gun,Water Gun,1,sword-shield,scarlet-violet
krabby,bubble-beam,Bubble Beam,20,sword-shield,scarlet-violet
krabby,harden,Harden,4,sword-shield,scarlet-violet
krabby,crabhammer,Crabhammer,44,sword-shield,scarlet-violet
krabby,flail,Flail,29,sword-shield,scarlet-violet
krabby,protect,Protect,16,sword-shield,scarlet-violet
krabby,metal-claw,Metal Claw,8,sword-shield,scarlet-violet
krabby,mud-shot,Mud Shot,12,sword-shield,scarlet-violet
krabby,razor-shell,Razor Shell,32,sword-shield,scarlet-violet
onix,bind,Bind,1,sword-shield,scarlet-violet
onix,slam,Slam,36,sword-shield,scarlet-violet
onix,tackle,Tackle,1,sword-shield,scarlet-violet
onix,double-edge,Double-Edge,56,sword-shield,scarlet-violet
onix,rock-throw,Rock Throw,1,sword-shield,scarlet-violet
onix,dig,Dig,44,sword-shield,scarlet-violet
onix,screech,Screech,24,sword-shield,scarlet-violet
onix,harden,Harden,1,sword-shield,scarlet-violet
onix,rock-slide,Rock Slide,20,sword-shield,scarlet-violet
onix,curse,Curse,16,sword-shield,scarlet-violet
onix,sandstorm,Sandstorm,40,sword-shield,scarlet-violet
onix,dragon-breath,Dragon Breath,12,sword-shield,scarlet-violet
onix,iron-tail,Iron Tail,48,sword-shield,scarlet-violet
onix,sand-tomb,Sand Tomb,28,sword-shield,scarlet-violet
onix,rock-polish,Rock Polish,8,sword-shield,scarlet-violet
onix,stone-edge,Stone Edge,52,sword-shield,scarlet-violet
onix,stealth-rock,Stealth Rock,32,sword-shield,scarlet-violet
onix,smack-down,Smack Down,4,sword-shield,scarlet-violet
kingler,guillotine,Guillotine,60,sword-shield,scarlet-violet
kingler,swords-dance,Swords Dance,48,sword-shield,scarlet-violet
kingler,slam,Slam,42,sword-shield,scarlet-violet
kingler,stomp,Stomp,24,sword-shield,scarlet-violet
kingler,leer,Leer,1,sword-shield,scarlet-violet
kingler,water-gun,Water Gun,1,sword-shield,scarlet-violet
kingler,bubble-beam,Bubble Beam,20,sword-shield,scarlet-violet
kingler,harden,Harden,1,sword-shield,scarlet-violet
kingler,crabhammer,Crabhammer,54,sword-shield,scarlet-violet
kingler,flail,Flail,31,sword-shield,scarlet-violet
kingler,protect,Protect,16,sword-shield,scarlet-violet
kingler,metal-claw,Metal Claw,1,sword-shield,scarlet-violet
kingler,mud-shot,Mud Shot,12,sword-shield,scarlet-violet
kingler,hammer-arm,Hammer Arm,1,sword-shield,scarlet-violet
kingler,wide-guard,Wide Guard,1,sword-shield,scarlet-violet
kingler,razor-shell,Razor Shell,36,sword-shield,scarlet-violet
cubone,headbutt,Headbutt,12,sword-shield,scarlet-violet
cubone,thrash,Thrash,44,sword-shield,scarlet-violet
cubone,double-edge,Double-Edge,48,sword-shield,scarlet-violet
cubone,tail-whip,Tail Whip,4,sword-shield,scarlet-violet
cubone,growl,Growl,1,sword-shield,scarlet-violet
cubone,focus-energy,Focus Energy,32,sword-shield,scarlet-violet
cubone,bonemerang,Bonemerang,40,sword-shield,scarlet-violet
cubone,mud-slap,Mud Slap,1,sword-shield,scarlet-violet
cubone,bone-rush,Bone Rush,29,sword-shield,scarlet-violet
cubone,false-swipe,False Swipe,8,sword-shield,scarlet-violet
cubone,endeavor,Endeavor,36,sword-shield,scarlet-violet
cubone,fling,Fling,20,sword-shield,scarlet-violet
cubone,retaliate,Retaliate,16,sword-shield,scarlet-violet
cubone,stomping-tantrum,Stomping Tantrum,24,sword-shield,scarlet-violet
hitmonlee,mind-reader,Mind Reader,28,sword-shield,scarlet-violet
hitmonlee,revenge,Revenge,16,sword-shield,scarlet-violet
marowak,headbutt,Headbutt,12,sword-shield,scarlet-violet
marowak,thrash,Thrash,54,sword-shield,scarlet-violet
marowak,double-edge,Double-Edge,60,sword-shield,scarlet-violet
marowak,tail-whip,Tail Whip,1,sword-shield,scarlet-violet
marowak,growl,Growl,1,sword-shield,scarlet-violet
marowak,focus-energy,Focus Energy,36,sword-shield,scarlet-violet
marowak,bonemerang,Bonemerang,48,sword-shield,scarlet-violet
marowak,mud-slap,Mud Slap,1,sword-shield,scarlet-violet
marowak,bone-rush,Bone Rush,31,sword-shield,scarlet-violet
marowak,false-swipe,False Swipe,1,sword-shield,scarlet-violet
marowak,endeavor,Endeavor,42,sword-shield,scarlet-violet
marowak,fling,Fling,20,sword-shield,scarlet-violet
marowak,retaliate,Retaliate,16,sword-shield,scarlet-violet
marowak,stomping-tantrum,Stomping Tantrum,24,sword-shield,scarlet-violet
hitmonchan,revenge,Revenge,16,sword-shield,scarlet-violet
hitmonchan,power-up-punch,Power Up Punch,8,sword-shield,scarlet-violet
lickitung,slam,Slam,48,sword-shield,scarlet-violet
lickitung,stomp,Stomp,30,sword-shield,scarlet-violet
lickitung,wrap,Wrap,18,sword-shield,scarlet-violet
lickitung,supersonic,Supersonic,12,sword-shield,scarlet-violet
lickitung,disable,Disable,24,sword-shield,scarlet-violet
lickitung,screech,Screech,42,sword-shield,scarlet-violet
lickitung,defense-curl,Defense Curl,1,sword-shield,scarlet-violet
lickitung,lick,Lick,1,sword-shield,scarlet-violet
lickitung,belly-drum,Belly Drum,60,sword-shield,scarlet-violet
lickitung,rollout,Rollout,6,sword-shield,scarlet-violet
lickitung,knock-off,Knock Off,36,sword-shield,scarlet-violet
lickitung,power-whip,Power Whip,54,sword-shield,scarlet-violet
seadra,laser-focus,Laser Focus,37,sword-shield,scarlet-violet
tangela,bind,Bind,1,sword-shield,scarlet-violet
tangela,slam,Slam,40,sword-shield,scarlet-violet
tangela,vine-whip,Vine Whip,16,sword-shield,scarlet-violet
tangela,absorb,Absorb,1,sword-shield,scarlet-violet
tangela,mega-drain,Mega Drain,12,sword-shield,scarlet-violet
tangela,growth,Growth,8,sword-shield,scarlet-violet
tangela,poison-powder,Poison Powder,20,sword-shield,scarlet-violet
tangela,stun-spore,Stun Spore,4,sword-shield,scarlet-violet
tangela,sleep-powder,Sleep Powder,36,sword-shield,scarlet-violet
tangela,giga-drain,Giga Drain,32,sword-shield,scarlet-violet
tangela,ancient-power,Ancient Power,24,sword-shield,scarlet-violet
tangela,ingrain,Ingrain,52,sword-shield,scarlet-violet
tangela,knock-off,Knock Off,28,sword-shield,scarlet-violet
tangela,tickle,Tickle,44,sword-shield,scarlet-violet
tangela,power-whip,Power Whip,48,sword-shield,scarlet-violet
tangela,grassy-terrain,Grassy Terrain,56,sword-shield,scarlet-violet
chansey,minimize,Minimize,1,sword-shield,scarlet-violet
kangaskhan,pound,Pound,1,sword-shield,scarlet-violet
kangaskhan,stomp,Stomp,16,sword-shield,scarlet-violet
kangaskhan,headbutt,Headbutt,24,sword-shield,scarlet-violet
kangaskhan,tail-whip,Tail Whip,1,sword-shield,scarlet-violet
kangaskhan,bite,Bite,12,sword-shield,scarlet-violet
kangaskhan,growl,Growl,4,sword-shield,scarlet-violet
kangaskhan,focus-energy,Focus Energy,20,sword-shield,scarlet-violet
kangaskhan,reversal,Reversal,44,sword-shield,scarlet-violet
kangaskhan,outrage,Outrage,48,sword-shield,scarlet-violet
kangaskhan,endure,Endure,40,sword-shield,scarlet-violet
kangaskhan,crunch,Crunch,36,sword-shield,scarlet-violet
kangaskhan,fake-out,Fake Out,8,sword-shield,scarlet-violet
kangaskhan,last-resort,Last Resort,52,sword-shield,scarlet-violet
kangaskhan,sucker-punch,Sucker Punch,28,sword-shield,scarlet-violet
kangaskhan,double-hit,Double Hit,32,sword-shield,scarlet-violet
horsea,laser-focus,Laser Focus,35,sword-shield,scarlet-violet
staryu,tackle,Tackle,1,sword-shield,scarlet-violet
staryu,water-gun,Water Gun,4,sword-shield,scarlet-violet
staryu,hydro-pump,Hydro Pump,56,sword-shield,scarlet-violet
staryu,surf,Surf,44,sword-shield,scarlet-violet
