Species,Where,Move,Type,Level,Tags
Ninetales,TM/Tutor,Extrasensory,Psychic,,Deleted|N
Ninetales,TM/Tutor,Incinerate,Fire,,Stab|Deleted|N
Ninetales,TM/Tutor,Inferno,Fire,,Stab|Deleted|N
Clefable,TM/Tutor,Minimize,Normal,,Deleted|N
Clefable,TM/Tutor,Encore,Normal,,Deleted|N
Clefable,TM/Tutor,Moonlight,Fairy,,Deleted|N
Clefable,TM/Tutor,Follow Me,Normal,,Deleted|N
Clefable,TM/Tutor,Cosmic Power,Psychic,,Deleted|N
Clefable,TM/Tutor,Gravity,Psychic,,Deleted|N
Clefable,TM/Tutor,Healing Wish,Psychic,,Deleted|N
Clefable,TM/Tutor,After You,Normal,,Deleted|N
Clefable,TM/Tutor,Stored Power,Psychic,,Deleted|N
Clefairy,Level-Up,Minimize,Normal,8,Deleted
Jigglypuff,Level-Up,Play Rough,Fairy,40,Stab|Deleted
Vileplume,TM/Tutor,Aromatherapy,Grass,,Deleted|N
Psyduck,Level-Up,Hydro Pump,Water,36,Stab|Deleted
Arcanine,TM/Tutor,Burn Up,Fire,,Stab|Deleted|N
Poliwrath,TM/Tutor,Double Edge,Normal,,Deleted|N
Poliwrath,TM/Tutor,Hydro Pump,Water,,Stab|Deleted|N
Poliwrath,Level-Up,Submission,Fighting,Evo,Stab|Deleted
Poliwrath,TM/Tutor,Mind Reader,Normal,,Deleted|N
Poliwrath,TM/Tutor,Belly Drum,Normal,,Deleted|N
Poliwrath,TM/Tutor,Rain Dance,Water,,Deleted|N
Poliwrath,TM/Tutor,Earth Power,Ground,,Deleted|N
Machop,Level-Up,Double Edge,Normal,52,Deleted
Machamp,Level-Up,Double Edge,Normal,66,Deleted
Machoke,Level-Up,Double Edge,Normal,66,Deleted
Onix,Level-Up,Double Edge,Normal,56,Deleted
Cubone,Level-Up,Double Edge,Normal,48,Deleted
Cubone,Level-Up,Mud Slap,Ground,1,Stab|Deleted
Hitmonlee,Level-Up,Mind Reader,Normal,28,Deleted
Hitmonlee,Level-Up,Revenge,Fighting,16,Stab|Deleted
Marowak,Level-Up,Double Edge,Normal,60,Deleted
Marowak,TM/Tutor,Mud Slap,Ground,,Stab|Deleted|N
Hitmonchan,Level-Up,Revenge,Fighting,16,Stab|Deleted
Hitmonchan,Level-Up,Power Up Punch,Fighting,8,Stab|Deleted
Seadra,Level-Up,Laser Focus,Normal,37,Deleted
Chansey,TM/Tutor,Minimize,Normal,,Deleted|N
Horsea,Level-Up,Laser Focus,Normal,35,Deleted
Starmie,TM/Tutor,Water Gun,Water,,Stab|Deleted|N
Starmie,TM/Tutor,Hydro Pump,Water,,Stab|Deleted|N
Starmie,TM/Tutor,Surf,Water,,Stab|Deleted|N
Starmie,TM/Tutor,Psybeam,Psychic,,Stab|Deleted|N
Starmie,TM/Tutor,Psychic,Psychic,,Stab|Deleted|N
Starmie,TM/Tutor,Recover,Normal,,Deleted|N
Starmie,TM/Tutor,Minimize,Normal,,Deleted|N
Starmie,TM/Tutor,Confuse Ray,Ghost,,Deleted|N
Starmie,TM/Tutor,Light Screen,Psychic,,Deleted|N
Starmie,TM/Tutor,Swift,Normal,,Deleted|N
Starmie,TM/Tutor,Rapid Spin,Normal,,Deleted|N
Starmie,TM/Tutor,Cosmic Power,Psychic,,Deleted|N
Starmie,TM/Tutor,Brine,Water,,Stab|Deleted|N
Starmie,TM/Tutor,Power Gem,Rock,,Deleted|N
Scyther,Level-Up,Laser Focus,Normal,44,Deleted
Tauros,Level-Up,Take Down,Normal,35,Stab|Deleted
Pinsir,Level-Up,Vice Grip,Normal,1,Deleted
Pinsir,Level-Up,X Scissor,Bug,32,Stab|Deleted
Porygon,Level-Up,Magic Coat,Psychic,50,Deleted
Articuno,Level-Up,Mind Reader,Normal,60,Deleted
Articuno,Level-Up,Hail,Ice,50,Deleted
Moltres,Level-Up,Burn Up,Fire,65,Stab|Deleted
Mewtwo,Level-Up,Laser Focus,Normal,1,Deleted
Hoothoot,Level-Up,Psycho Shift,Psychic,15,Deleted
Noctowl,Level-Up,Psycho Shift,Psychic,15,Deleted
Togetic,Level-Up,Double Edge,Normal,32,Deleted
Politoed,TM/Tutor,Double Edge,Normal,,Deleted|N
Togepi,Level-Up,Double Edge,Normal,32,Deleted
Slowking,Level-Up,Zen Headbutt,Psychic,24,Stab|Deleted
Dunsparce,Level-Up,Body Slam,Normal,32,Stab|Deleted
Dunsparce,Level-Up,Take Down,Normal,36,Stab|Deleted
Steelix,Level-Up,Double Edge,Normal,56,Deleted
Qwilfish,Level-Up,Take Down,Normal,48,Deleted
Qwilfish,Level-Up,Revenge,Fighting,28,Deleted
Scizor,Level-Up,Laser Focus,Normal,44,Deleted
Remoraid,Level-Up,Lock On,Normal,24,Deleted
Octillery,Level-Up,Lock On,Normal,24,Deleted
Skarmory,Level-Up,Autotomize,Steel,32,Deleted
Kingdra,Level-Up,Laser Focus,Normal,37,Deleted
Porygon2,Level-Up,Magic Coat,Psychic,50,Deleted
Hitmontop,Level-Up,Revenge,Fighting,16,Stab|Deleted
Blissey,TM/Tutor,Minimize,Normal,,Deleted|N
Entei,Level-Up,Sacred Fire,Fire,1,Stab|Deleted
Entei,Level-Up,Extreme Speed,Normal,1,Deleted
Suicune,Level-Up,Extreme Speed,Normal,1,Deleted
Suicune,Level-Up,Sheer Cold,Ice,1,Deleted
Larvitar,Level-Up,Dark Pulse,Dark,24,Deleted
Pupitar,Level-Up,Dark Pulse,Dark,24,Deleted
Lugia,Level-Up,Dragon Rush,Dragon,1,Deleted
Ho-Oh,Level-Up,Burn Up,Fire,99,Stab|Deleted
Grovyle,TM/Tutor,X Scissor,Bug,,Deleted|N
Sceptile,TM/Tutor,X Scissor,Bug,,Deleted|N
Sceptile,Level-Up,Dual Chop,Dragon,Evo,Deleted
Zigzagoon,Level-Up,Double Edge,Normal,36,Stab|Deleted
Zigzagoon,Level-Up,Baby Doll Eyes,Fairy,15,Deleted
Linoone,Level-Up,Double Edge,Normal,48,Stab|Deleted
Linoone,TM/Tutor,Baby Doll Eyes,Fairy,,Deleted|N
Lombre,Level-Up,Rain Dance,Water,43,Deleted
Lombre,Level-Up,Nature Power,Normal,30,Deleted
Seedot,Level-Up,Nature Power,Normal,21,Deleted
Shiftry,TM/Tutor,Mega Drain,Grass,,Stab|Deleted|N
Shiftry,TM/Tutor,Growth,Normal,,Deleted|N
Shiftry,TM/Tutor,Razor Leaf,Grass,,Stab|Deleted|N
Shiftry,TM/Tutor,Rollout,Rock,,Deleted|N
Shiftry,TM/Tutor,Synthesis,Grass,,Deleted|N
Shiftry,TM/Tutor,Nature Power,Normal,,Deleted|N
Shiftry,TM/Tutor,Extrasensory,Psychic,,Deleted|N
Shiftry,TM/Tutor,Sucker Punch,Dark,,Stab|Deleted|N
Shiftry,Level-Up,Leaf Tornado,Grass,Evo,Stab|Deleted
Nuzleaf,Level-Up,Nature Power,Normal,30,Deleted
Lotad,Level-Up,Nature Power,Normal,24,Deleted
Ludicolo,TM/Tutor,Mist,Ice,,Deleted|N
Ludicolo,TM/Tutor,Hydro Pump,Water,,Stab|Deleted|N
Ludicolo,TM/Tutor,Mega Drain,Grass,,Stab|Deleted|N
Ludicolo,TM/Tutor,Fury Swipes,Normal,,Deleted|N
Ludicolo,TM/Tutor,Giga Drain,Grass,,Stab|Deleted|N
Ludicolo,TM/Tutor,Nature Power,Normal,,Deleted|N
Ludicolo,TM/Tutor,Energy Ball,Grass,,Stab|Deleted|N
Ludicolo,TM/Tutor,Zen Headbutt,Psychic,,Deleted|N
Nincada,Level-Up,Mud Slap,Ground,15,Stab|Deleted
Ninjask,TM/Tutor,Mud Slap,Ground,,Deleted|N
Ninjask,Level-Up,X Scissor,Bug,64,Stab|Deleted
Shedinja,TM/Tutor,Mud Slap,Ground,,Deleted|N
Sableye,Level-Up,Confuse Ray,Ghost,6,Deleted
Lairon,Level-Up,Double Edge,Normal,70,Deleted
Aggron,Level-Up,Double Edge,Normal,80,Deleted
Aron,Level-Up,Double Edge,Normal,56,Deleted
Vibrava,TM/Tutor,Laser Focus,Normal,,Deleted|N
Flygon,TM/Tutor,Laser Focus,Normal,,Deleted|N
Trapinch,Level-Up,Laser Focus,Normal,4,Deleted
Baltoy,Level-Up,Self Destruct,Normal,33,Deleted
Baltoy,Level-Up,Mud Slap,Ground,1,Stab|Deleted
Claydol,Level-Up,Self Destruct,Normal,33,Deleted
Claydol,TM/Tutor,Mud Slap,Ground,,Stab|Deleted|N
Anorith,Level-Up,X Scissor,Bug,44,Stab|Deleted
Armaldo,Level-Up,X Scissor,Bug,48,Stab|Deleted
Snorunt,Level-Up,Hail,Ice,45,Deleted
Glalie,Level-Up,Hail,Ice,47,Deleted
Relicanth,Level-Up,Double Edge,Normal,50,Deleted
Salamence,Level-Up,Outrage,Dragon,64,Stab|Deleted
Latias,Level-Up,Psycho Shift,Psychic,75,Deleted
Latios,Level-Up,Psycho Shift,Psychic,75,Deleted
Jirachi,Level-Up,Helping Hand,Normal,14,Deleted
Roserade,TM/Tutor,Poison Sting,Poison,,Stab|Deleted|N
Roserade,TM/Tutor,Mega Drain,Grass,,Stab|Deleted|N
Roserade,TM/Tutor,Leech Seed,Grass,,Deleted|N
Roserade,TM/Tutor,Petal Dance,Grass,,Stab|Deleted|N
Roserade,TM/Tutor,Toxic,Poison,,Deleted|N
Roserade,TM/Tutor,Giga Drain,Grass,,Stab|Deleted|N
Roserade,TM/Tutor,Sweet Scent,Normal,,Deleted|N
Roserade,TM/Tutor,Synthesis,Grass,,Deleted|N
Roserade,TM/Tutor,Ingrain,Grass,,Deleted|N
Roserade,TM/Tutor,Aromatherapy,Grass,,Deleted|N
Roserade,TM/Tutor,Magical Leaf,Grass,,Stab|Deleted|N
Roserade,TM/Tutor,Toxic Spikes,Poison,,Deleted|N
Roserade,TM/Tutor,Petal Blizzard,Grass,,Stab|Deleted|N
Vespiquen,Level-Up,Aromatherapy,Grass,24,Deleted
Buneary,Level-Up,Baby Doll Eyes,Fairy,8,Deleted
Lopunny,TM/Tutor,Baby Doll Eyes,Fairy,,Deleted|N
Skuntank,Level-Up,Acid Spray,Poison,9,Stab|Deleted
Skuntank,Level-Up,Venom Drench,Poison,48,Deleted
Stunky,Level-Up,Venom Drench,Poison,42,Deleted
Happiny,Level-Up,Minimize,Normal,1,Deleted
Gabite,TM/Tutor,Dual Chop,Dragon,,Stab|Deleted|N
Garchomp,TM/Tutor,Dual Chop,Dragon,,Stab|Deleted|N
Lucario,Level-Up,Power Up Punch,Fighting,20,Stab|Deleted
Lucario,Level-Up,Laser Focus,Normal,16,Deleted
Riolu,Level-Up,Nasty Plot,Dark,24,Deleted
Skorupi,Level-Up,X Scissor,Bug,42,Stab|Deleted
Toxicroak,Level-Up,Revenge,Fighting,16,Stab|Deleted
Weavile,TM/Tutor,Revenge,Fighting,,Deleted|N
Croagunk,Level-Up,Revenge,Fighting,16,Stab|Deleted
Drapion,Level-Up,X Scissor,Bug,44,Deleted
Togekiss,TM/Tutor,Double Edge,Normal,,Deleted|N
Togekiss,TM/Tutor,Metronome,Normal,,Deleted|N
Togekiss,TM/Tutor,Charm,Fairy,,Deleted|N
Togekiss,TM/Tutor,Safeguard,Normal,,Deleted|N
Togekiss,TM/Tutor,Baton Pass,Normal,,Deleted|N
Togekiss,TM/Tutor,Ancient Power,Rock,,Deleted|N
Togekiss,TM/Tutor,Follow Me,Normal,,Deleted|N
Togekiss,TM/Tutor,Wish,Normal,,Deleted|N
Togekiss,TM/Tutor,Yawn,Normal,,Deleted|N
Togekiss,TM/Tutor,Last Resort,Normal,,Deleted|N
Togekiss,TM/Tutor,After You,Normal,,Deleted|N
Togekiss,TM/Tutor,Fairy Wind,Fairy,,Stab|Deleted|N
Glaceon,Level-Up,Hail,Ice,35,Deleted
Porygon-Z,Level-Up,Magic Coat,Psychic,50,Deleted
Froslass,Level-Up,Hail,Ice,40,Deleted
Palkia,Level-Up,Dragon Claw,Dragon,40,Stab|Deleted
Regigigas,Level-Up,Revenge,Fighting,12,Deleted
Cresselia,Level-Up,Psycho Shift,Psychic,24,Deleted
Victini,Level-Up,Double Edge,Normal,70,Deleted
Victini,Level-Up,V Create,Fire,1,Stab|Deleted
Lillipup,Level-Up,Baby Doll Eyes,Fairy,17,Deleted
Herdier,Level-Up,Baby Doll Eyes,Fairy,19,Deleted
Stoutland,Level-Up,Baby Doll Eyes,Fairy,19,Deleted
Musharna,TM/Tutor,Psybeam,Psychic,,Stab|Deleted|N
Musharna,TM/Tutor,Psychic,Psychic,,Stab|Deleted|N
Musharna,TM/Tutor,Hypnosis,Psychic,,Deleted|N
Musharna,TM/Tutor,Dream Eater,Psychic,,Stab|Deleted|N
Musharna,TM/Tutor,Moonlight,Fairy,,Deleted|N
Musharna,TM/Tutor,Future Sight,Psychic,,Stab|Deleted|N
Musharna,TM/Tutor,Magic Coat,Psychic,,Deleted|N
Musharna,TM/Tutor,Yawn,Normal,,Deleted|N
Musharna,TM/Tutor,Imprison,Psychic,,Deleted|N
Musharna,TM/Tutor,Calm Mind,Psychic,,Deleted|N
Musharna,TM/Tutor,Zen Headbutt,Psychic,,Stab|Deleted|N
Musharna,TM/Tutor,Wonder Room,Psychic,,Deleted|N
Musharna,TM/Tutor,Moonblast,Fairy,,Deleted|N
Roggenrola,Level-Up,Mud Slap,Ground,12,Deleted
Boldore,Level-Up,Mud Slap,Ground,12,Deleted
Gigalith,Level-Up,Mud Slap,Ground,12,Deleted
Audino,Level-Up,Double Edge,Normal,48,Stab|Deleted
Audino,Level-Up,Baby Doll Eyes,Fairy,9,Deleted
Whirlipede,Level-Up,Double Edge,Normal,56,Deleted
Scolipede,Level-Up,Double Edge,Normal,66,Deleted
Petilil,Level-Up,Aromatherapy,Grass,12,Deleted
Lilligant,TM/Tutor,Aromatherapy,Grass,,Deleted|N
Basculin,Level-Up,Aqua Tail,Water,44,Stab|Deleted
Dwebble,Level-Up,X Scissor,Bug,36,Stab|Deleted
Crustle,Level-Up,X Scissor,Bug,38,Stab|Deleted
Scraggy,Level-Up,Protect,Normal,20,Deleted
Yamask,Level-Up,Will O Wisp,Fire,16,Deleted
Cofagrigus,Level-Up,Will O Wisp,Fire,16,Deleted
Archeops,Level-Up,U Turn,Bug,21,Deleted
Archen,Level-Up,U Turn,Bug,21,Deleted
Scrafty,Level-Up,Protect,Normal,20,Deleted
Venipede,Level-Up,Double Edge,Normal,44,Deleted
Zoroark,Level-Up,Scary Face,Normal,16,Deleted
Cinccino,TM/Tutor,Slam,Normal,,Stab|Deleted|N
Cinccino,TM/Tutor,Swift,Normal,,Stab|Deleted|N
Cinccino,TM/Tutor,Encore,Normal,,Deleted|N
Cinccino,TM/Tutor,Helping Hand,Normal,,Deleted|N
Cinccino,TM/Tutor,Hyper Voice,Normal,,Stab|Deleted|N
Cinccino,TM/Tutor,Tickle,Normal,,Deleted|N
Cinccino,TM/Tutor,Last Resort,Normal,,Stab|Deleted|N
Cinccino,TM/Tutor,After You,Normal,,Deleted|N
Cinccino,TM/Tutor,Echoed Voice,Normal,,Stab|Deleted|N
Cinccino,TM/Tutor,Baby Doll Eyes,Fairy,,Deleted|N
Gothorita,Level-Up,Psychic,Psychic,40,Stab|Deleted
Karrablast,Level-Up,Double Edge,Normal,48,Deleted
Karrablast,Level-Up,X Scissor,Bug,32,Stab|Deleted
Escavalier,TM/Tutor,Double Edge,Normal,,Deleted|N
Escavalier,Level-Up,X Scissor,Bug,32,Stab|Deleted
Ferrothorn,Level-Up,Self Destruct,Normal,30,Deleted
Ferroseed,Level-Up,Self Destruct,Normal,30,Deleted
Klink,Level-Up,Vice Grip,Normal,1,Deleted
Klink,Level-Up,Lock On,Normal,36,Deleted
Klinklang,TM/Tutor,Vice Grip,Normal,,Deleted|N
Klinklang,Level-Up,Lock On,Normal,36,Deleted
Klang,TM/Tutor,Vice Grip,Normal,,Deleted|N
Klang,Level-Up,Lock On,Normal,36,Deleted
Vanilluxe,TM/Tutor,Freeze Dry,Ice,,Stab|Deleted|N
Axew,Level-Up,Dual Chop,Dragon,30,Stab|Deleted
Axew,Level-Up,Laser Focus,Normal,33,Deleted
Fraxure,Level-Up,Dual Chop,Dragon,30,Stab|Deleted
Fraxure,Level-Up,Laser Focus,Normal,33,Deleted
Haxorus,Level-Up,Dual Chop,Dragon,30,Stab|Deleted
Haxorus,Level-Up,Laser Focus,Normal,33,Deleted
Cubchoo,Level-Up,Hail,Ice,30,Deleted
Beartic,Level-Up,Hail,Ice,30,Deleted
Cryogonal,Level-Up,Laser Focus,Normal,12,Deleted
Accelgor,Level-Up,U Turn,Bug,36,Stab|Deleted
Stunfisk,Level-Up,Mud Slap,Ground,1,Stab|Deleted
Golurk,TM/Tutor,Mud Slap,Ground,,Stab|Deleted|N
Pawniard,Level-Up,Laser Focus,Normal,50,Deleted
Bisharp,Level-Up,Laser Focus,Normal,50,Deleted
Braviary,Level-Up,Brave Bird,Flying,80,Stab|Deleted
Durant,Level-Up,Vice Grip,Normal,4,Deleted
Durant,Level-Up,X Scissor,Bug,32,Stab|Deleted
Virizion,Level-Up,Take Down,Normal,42,Deleted
Landorus Incarnate Forme,Level-Up,Swords Dance,Normal,25,Deleted
Landorus Incarnate Forme,Level-Up,Rock Throw,Rock,1,Deleted
Genesect,Level-Up,Self Destruct,Normal,91,Deleted
Genesect,Level-Up,Lock On,Normal,77,Deleted
Genesect,Level-Up,X Scissor,Bug,42,Stab|Deleted
Bunnelby,Level-Up,Mud Slap,Ground,1,Deleted
Diggersby,TM/Tutor,Mud Slap,Ground,,Stab|Deleted|N
Aegislash,TM/Tutor,Swords Dance,Normal,,Deleted|N
Aegislash,TM/Tutor,Slash,Normal,,Deleted|N
Aegislash,TM/Tutor,Metal Sound,Steel,,Deleted|N
Aegislash,TM/Tutor,Aerial Ace,Flying,,Deleted|N
Aegislash,TM/Tutor,Iron Defense,Steel,,Deleted|N
Aegislash,TM/Tutor,Power Trick,Psychic,,Deleted|N
Aegislash,TM/Tutor,Night Slash,Dark,,Deleted|N
Aegislash,TM/Tutor,Iron Head,Steel,,Stab|Deleted|N
Aegislash,TM/Tutor,Retaliate,Normal,,Deleted|N
Aegislash,TM/Tutor,Sacred Sword,Fighting,,Deleted|N
Aegislash,Level-Up,Kings Shield,Steel,Evo,Deleted
Binacle,Level-Up,Mud Slap,Ground,1,Deleted
Clauncher,Level-Up,Vice Grip,Normal,5,Deleted
Helioptile,Level-Up,Mud Slap,Ground,1,Deleted
Heliolisk,TM/Tutor,Pound,Normal,,Stab|Deleted|N
Heliolisk,TM/Tutor,Thunder Shock,Electric,,Stab|Deleted|N
Heliolisk,TM/Tutor,Thunderbolt,Electric,,Stab|Deleted|N
Heliolisk,TM/Tutor,Thunder Wave,Electric,,Deleted|N
Heliolisk,TM/Tutor,Thunder,Electric,,Stab|Deleted|N
Heliolisk,TM/Tutor,Quick Attack,Normal,,Stab|Deleted|N
Heliolisk,TM/Tutor,Mud Slap,Ground,,Deleted|N
Heliolisk,TM/Tutor,Charge,Electric,,Deleted|N
Heliolisk,TM/Tutor,Volt Switch,Electric,,Stab|Deleted|N
Heliolisk,TM/Tutor,Bulldoze,Ground,,Deleted|N
Heliolisk,TM/Tutor,Parabolic Charge,Electric,,Stab|Deleted|N
Heliolisk,TM/Tutor,Electrify,Electric,,Deleted|N
Amaura,Level-Up,Freeze Dry,Ice,36,Stab|Deleted
Aurorus,Level-Up,Freeze Dry,Ice,36,Stab|Deleted
Clawitzer,TM/Tutor,Vice Grip,Normal,,Deleted|N
Barbaracle,TM/Tutor,Mud Slap,Ground,,Deleted|N
Goodra,Level-Up,Dragon Pulse,Dragon,35,Stab|Deleted
Klefki,Level-Up,Crafty Shield,Fairy,16,Deleted
Gourgeist,TM/Tutor,Trick Or Treat,Ghost,,Deleted|N
Hawlucha,Level-Up,Submission,Fighting,24,Stab|Deleted
Avalugg,Level-Up,Skull Bash,Normal,51,Deleted
Pumpkaboo,Level-Up,Trick Or Treat,Ghost,1,Deleted
Zygarde (old),Level-Up,Lands Wrath,Ground,48,Stab|Deleted
Landorus Therian Forme,Level-Up,Swords Dance,Normal,25,Deleted
Landorus Therian Forme,Level-Up,Rock Throw,Rock,1,Deleted
"Darmanitan, Zen Mode",Level-Up,Tackle,Normal,1,Deleted
"Darmanitan, Zen Mode",Level-Up,Bite,Dark,1,Deleted
"Darmanitan, Zen Mode",Level-Up,Ember,Fire,1,Stab|Deleted
"Darmanitan, Zen Mode",Level-Up,Taunt,Dark,1,Deleted
